utc,endpoint,head,occupancyCall
2026-08-19T21:09:46.412Z,QuickNodeEP1,45702748,127
2026-08-19T21:09:46.412Z,CoinbasePub,45702749,127
2026-08-19T21:10:46.417Z,QuickNodeEP1,45702778,127
2026-08-19T21:10:46.417Z,CoinbasePub,45702779,127
2026-08-19T21:11:46.396Z,QuickNodeEP1,45702808,127
2026-08-19T21:11:46.396Z,CoinbasePub,45702809,127
2026-08-19T21:12:46.162Z,QuickNodeEP1,45702838,127
2026-08-19T21:12:46.162Z,CoinbasePub,45702839,127
2026-08-19T21:13:45.828Z,QuickNodeEP1,45702868,127
2026-08-19T21:13:45.828Z,CoinbasePub,45702868,127
2026-08-19T21:14:45.863Z,QuickNodeEP1,45702898,127
2026-08-19T21:14:45.863Z,CoinbasePub,45702898,127
2026-08-19T21:15:45.871Z,QuickNodeEP1,45702928,127
2026-08-19T21:15:45.871Z,CoinbasePub,45702928,127
2026-08-19T21:16:45.924Z,QuickNodeEP1,45702958,127
2026-08-19T21:16:45.924Z,CoinbasePub,45702958,127
2026-08-19T21:17:45.974Z,QuickNodeEP1,45702988,127
2026-08-19T21:17:45.974Z,CoinbasePub,45702988,127
2026-08-19T21:18:46.472Z,QuickNodeEP1,45703018,127
2026-08-19T21:18:46.472Z,CoinbasePub,45703019,127
2026-08-19T21:19:46.449Z,QuickNodeEP1,45703048,127
2026-08-19T21:19:46.449Z,CoinbasePub,45703049,127
2026-08-19T21:20:46.498Z,QuickNodeEP1,45703078,127
2026-08-19T21:20:46.498Z,CoinbasePub,45703079,127
2026-08-19T21:21:46.543Z,QuickNodeEP1,45703108,127
2026-08-19T21:21:46.543Z,CoinbasePub,45703109,127
2026-08-19T21:22:46.475Z,QuickNodeEP1,45703138,127
2026-08-19T21:22:46.475Z,CoinbasePub,45703139,127
2026-08-19T21:23:46.459Z,QuickNodeEP1,45703168,127
2026-08-19T21:23:46.459Z,CoinbasePub,45703169,127
2026-08-19T21:24:46.066Z,QuickNodeEP1,45703198,127
2026-08-19T21:24:46.066Z,CoinbasePub,45703198,127
2026-08-19T21:25:46.004Z,QuickNodeEP1,45703228,127
2026-08-19T21:25:46.004Z,CoinbasePub,45703229,127
2026-08-19T21:26:46.132Z,QuickNodeEP1,45703258,127
2026-08-19T21:26:46.132Z,CoinbasePub,45703259,127
2026-08-19T21:27:46.507Z,QuickNodeEP1,45703288,127
2026-08-19T21:27:46.507Z,CoinbasePub,45703289,127
2026-08-19T21:28:46.532Z,QuickNodeEP1,45703318,127
2026-08-19T21:28:46.532Z,CoinbasePub,45703319,127
2026-08-19T21:29:45.971Z,QuickNodeEP1,45703348,127
2026-08-19T21:29:45.971Z,CoinbasePub,45703348,127
2026-08-19T21:30:46.012Z,QuickNodeEP1,45703378,127
2026-08-19T21:30:46.012Z,CoinbasePub,45703378,127
2026-08-19T21:31:45.956Z,QuickNodeEP1,45703408,127
2026-08-19T21:31:45.956Z,CoinbasePub,45703408,127
2026-08-19T21:32:46.193Z,QuickNodeEP1,45703438,127
2026-08-19T21:32:46.193Z,CoinbasePub,45703439,127
2026-08-19T21:33:46.576Z,QuickNodeEP1,45703468,127
2026-08-19T21:33:46.576Z,CoinbasePub,45703469,127
2026-08-19T21:34:46.101Z,QuickNodeEP1,45703498,127
2026-08-19T21:34:46.101Z,CoinbasePub,45703499,127
2026-08-19T21:35:46.018Z,QuickNodeEP1,45703528,127
2026-08-19T21:35:46.018Z,CoinbasePub,45703529,127
2026-08-19T21:36:45.985Z,QuickNodeEP1,45703558,127
2026-08-19T21:36:45.985Z,CoinbasePub,45703559,127
2026-08-19T21:37:46.662Z,QuickNodeEP1,45703588,127
2026-08-19T21:37:46.662Z,CoinbasePub,45703589,127
2026-08-19T21:38:46.039Z,QuickNodeEP1,45703618,127
2026-08-19T21:38:46.039Z,CoinbasePub,45703619,127
2026-08-19T21:39:46.036Z,QuickNodeEP1,45703648,127
2026-08-19T21:39:46.036Z,CoinbasePub,45703649,127
2026-08-19T21:40:46.097Z,QuickNodeEP1,45703678,127
2026-08-19T21:40:46.097Z,CoinbasePub,45703679,127
2026-08-19T21:41:46.066Z,QuickNodeEP1,45703708,127
2026-08-19T21:41:46.066Z,CoinbasePub,45703709,127
2026-08-19T21:42:46.481Z,QuickNodeEP1,45703738,127
2026-08-19T21:42:46.481Z,CoinbasePub,45703739,127
2026-08-19T21:43:46.765Z,QuickNodeEP1,45703768,127
2026-08-19T21:43:46.765Z,CoinbasePub,45703769,127
2026-08-19T21:44:46.371Z,QuickNodeEP1,45703798,127
